State,District,Location,Longitude,Latitude,Year,pH,EC,HCO3,CI,F,SO4,NO3,PO4,Total Hardness,Ca,Mg,K,Fe,As,U,Pb,Cd,Ni,Cr
Uttar Pradesh,Aligarh,Urban Center Aligarh,78.07,27.88,2022,7.5,850,210,120,0.8,45,20,0.1,350,80,40,2.5,0.45,15,40,8,2.5,20,15
Rajasthan,Jaipur,Industrial Zone Jaipur,75.7873,26.9124,2023,8.1,1200,300,180,1.2,70,30,0.2,450,110,55,3.0,0.8,35,65,15,4.0,50,45
Uttar Pradesh,Kanpur,Jajmau Tannery Zone,80.395,26.431,2022,8.4,1800,450,250,1.8,120,45,0.5,600,150,70,4.5,1.5,25,20,40,8.0,90,150
Punjab,Bathinda,Malwa Rural Zone,74.9455,30.211,2021,7.8,950,260,140,1.0,60,22,0.1,390,95,48,3.0,0.3,55,150,8,1.5,18,14
Gujarat,Vapi,Chemical Industrial Zone,72.915,20.37,2023,8.6,2200,550,350,2.2,180,55,0.8,800,200,90,5.5,2.8,40,50,60,10.0,120,180
Jharkhand,Jaduguda,Uranium Mining Area,86.35,22.65,2022,7.4,1100,280,160,1.5,70,25,0.15,430,100,50,3.5,0.9,70,250,20,4.0,40,30
Odisha,Sukinda,Chromite Mining Valley,85.8,21.05,2023,8.2,1500,380,220,1.6,100,40,0.3,550,140,65,4.2,2.2,30,25,30,6.0,100,250
Delhi,Delhi,Wazirabad Barrage Area,77.23,28.7,2024,8.0,1900,500,300,1.7,130,50,0.7,700,180,80,5.0,1.8,28,35,45,7.0,80,90
Kerala,Eloor,Periyar River Industrial,76.3,10.05,2022,7.1,1300,320,190,1.3,85,32,0.25,480,120,60,3.8,1.2,22,18,38,9.0,60,70
Andhra Pradesh,Patancheru,Pharmaceutical Hub,78.26,17.53,2023,8.5,2500,600,400,2.5,200,60,1.0,900,220,100,6.0,3.5,50,60,70,15.0,150,120
Rajasthan,Jaipur,Residential Area Jaipur,75.8223,26.9004,2023,7.8,950,250,140,0.9,50,22,0.1,380,90,45,2.8,0.25,8,25,5,1.0,15,10
Uttar Pradesh,Kanpur,IIT Kanpur Campus,80.232,26.5125,2023,7.3,650,150,80,0.5,30,12,0.04,250,55,30,2.0,0.1,3,5,1,0.1,4,2
Kerala,Eloor,Periyar River Industrial Well 2,76.32,10.09,2024,8.4,1422,375,226,1.5,101,38,0.29,566,142,71,4.5,1.4,26,21,45,10.7,71,83
Gujarat,Vapi,Chemical Industrial Zone Upstream,72.93,20.33,2023,10.0,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Gujarat,Vapi,Chemical Industrial Zone Site A,72.96,20.39,2022,9.3,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area,86.32,22.69,2022,8.8,1242,316,181,1.7,79,28,0.17,486,113,56,3.9,1.0,79,282,23,4.5,45,34
Delhi,Delhi,Wazirabad Barrage Area Well 2,77.2,28.66,2020,9.3,2178,574,344,2.0,149,57,0.8,803,206,92,5.7,2.1,32,40,52,8.0,92,103
Uttar Pradesh,Kanpur,IIT Kanpur Campus Well 2,80.23,26.47,2021,8.3,711,164,88,0.6,33,13,0.04,274,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone,74.95,30.17,2021,8.7,1051,288,155,1.1,66,24,0.1,432,105,53,3.3,0.3,61,166,9,1.7,20,15
Rajasthan,Jaipur,Residential Area Jaipur Site A,75.8,26.86,2020,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.8,26.96,2023,9.4,1362,340,204,1.4,79,34,0.2,511,125,62,3.4,0.9,40,73,17,4.5,57,51
Uttar Pradesh,Aligarh,Urban Center Aligarh Site B,78.03,27.85,2020,8.7,987,243,139,0.9,52,23,0.1,406,93,46,2.9,0.5,17,46,9,2.9,23,17
Odisha,Sukinda,Chromite Mining Valley Site B,85.8,21.09,2023,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Kerala,Eloor,Periyar River Industrial Site B,76.33,10.09,2024,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
Kerala,Eloor,Periyar River Industrial Site B,76.3,10.02,2020,8.3,1506,370,220,1.5,98,37,0.3,556,139,69,4.4,1.4,25,21,44,10.4,69,81
Rajasthan,Jaipur,Residential Area Jaipur Upstream,75.86,26.93,2020,9.2,1048,276,154,1.0,55,24,0.1,419,99,49,3.1,0.3,9,28,6,1.1,17,11
Andhra Pradesh,Patancheru,Pharmaceutical Hub Well 1,78.22,17.5,2020,9.8,2843,682,455,2.8,227,68,1.1,1024,250,114,6.8,4.0,57,68,80,17.1,171,136
Jharkhand,Jaduguda,Uranium Mining Area Site A,86.3,22.61,2020,8.4,1248,318,181,1.7,79,28,0.17,488,113,56,4.0,1.0,79,283,23,4.5,45,34
Jharkhand,Jaduguda,Uranium Mining Area,86.35,22.6,2024,8.8,1315,335,191,1.8,84,30,0.18,514,119,59,4.2,1.1,84,299,24,4.8,48,36
Odisha,Sukinda,Chromite Mining Valley,85.84,21.04,2020,9.0,1722,436,252,1.8,115,46,0.3,631,161,75,4.8,2.5,34,29,34,6.9,115,286
Uttar Pradesh,Aligarh,Urban Center Aligarh Well 1,78.11,27.87,2024,8.9,949,235,133,0.9,50,22,0.1,390,90,44,2.8,0.5,17,44,9,2.8,22,17
Kerala,Eloor,Periyar River Industrial Site A,76.35,10.06,2022,8.4,1498,369,219,1.5,98,37,0.3,554,138,69,4.4,1.4,25,21,44,10.4,69,81
Rajasthan,Jaipur,Industrial Zone Jaipur Site B,75.75,26.9,2023,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Andhra Pradesh,Patancheru,Pharmaceutical Hub Site B,78.22,17.5,2021,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Kerala,Eloor,Periyar River Industrial Well 1,76.27,10.02,2021,8.0,1475,363,215,1.5,96,36,0.3,546,136,68,4.3,1.3,25,20,43,10.2,68,79
Uttar Pradesh,Kanpur,IIT Kanpur Campus Upstream,80.24,26.56,2021,8.3,736,170,90,0.6,34,14,0.04,281,62,34,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Site B,74.96,30.2,2023,9.3,1048,287,155,1.1,66,24,0.1,431,105,53,3.3,0.3,61,166,9,1.7,20,15
Delhi,Delhi,Wazirabad Barrage Area Site A,77.2,28.69,2024,9.5,2212,581,348,2.0,151,58,0.8,812,209,93,5.8,2.1,32,40,52,8.1,93,104
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Site B,80.38,26.4,2024,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Odisha,Sukinda,Chromite Mining Valley Well 1,85.78,21.08,2023,9.5,1706,430,249,1.8,114,45,0.3,625,159,74,4.8,2.5,34,28,34,6.8,114,284
Delhi,Delhi,Wazirabad Barrage Area Site B,77.27,28.74,2020,9.0,2073,544,329,1.9,142,55,0.8,765,197,88,5.5,2.0,31,38,50,7.7,88,98
Rajasthan,Jaipur,Industrial Zone Jaipur Site B,75.78,26.87,2020,9.1,1352,336,202,1.4,79,34,0.2,507,124,61,3.4,0.9,39,73,17,4.5,56,50
Gujarat,Vapi,Chemical Industrial Zone Site A,72.95,20.35,2020,9.4,2508,627,399,2.5,205,62,0.9,913,228,103,6.3,3.2,45,57,68,11.5,137,205
Jharkhand,Jaduguda,Uranium Mining Area Site A,86.37,22.61,2023,8.4,1243,317,181,1.7,79,28,0.17,486,113,56,4.0,1.0,79,282,23,4.5,45,34
Rajasthan,Jaipur,Residential Area Jaipur Site A,75.82,26.86,2021,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Odisha,Sukinda,Chromite Mining Valley Site B,85.83,21.0,2023,9.2,1663,420,243,1.8,111,44,0.3,608,155,72,4.7,2.4,33,28,33,6.7,111,277
Uttar Pradesh,Kanpur,IIT Kanpur Campus Well 2,80.19,26.54,2021,8.3,710,164,88,0.6,33,13,0.04,273,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone,74.99,30.22,2024,9.0,1056,289,156,1.1,67,25,0.1,434,106,53,3.3,0.3,61,167,9,1.7,20,16
Uttar Pradesh,Aligarh,Urban Center Aligarh Site A,78.11,27.92,2024,8.5,945,234,133,0.9,50,22,0.1,389,90,44,2.8,0.5,17,44,9,2.8,22,17
Kerala,Eloor,Periyar River Industrial Downstream,76.26,10.03,2023,8.0,1525,375,223,1.5,99,37,0.3,564,141,70,4.5,1.4,26,21,45,10.6,71,82
Uttar Pradesh,Aligarh,Urban Center Aligarh,78.05,27.84,2023,8.5,961,238,135,0.9,51,22,0.1,394,91,45,2.8,0.5,17,45,9,2.8,22,17
Jharkhand,Jaduguda,Uranium Mining Area Site B,86.37,22.61,2024,8.5,1239,316,180,1.7,79,28,0.17,485,113,56,3.9,1.0,79,281,23,4.5,45,34
Gujarat,Vapi,Chemical Industrial Zone,72.93,20.33,2022,9.4,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Industrial Zone Jaipur Site B,75.76,26.88,2021,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Punjab,Bathinda,Malwa Rural Zone Site A,74.91,30.2,2023,9.2,1064,292,157,1.1,67,25,0.1,438,106,53,3.4,0.3,62,168,9,1.7,20,16
Punjab,Bathinda,Malwa Rural Zone,74.96,30.17,2020,8.8,1073,294,158,1.1,68,25,0.1,442,107,54,3.4,0.3,62,169,9,1.7,20,16
Odisha,Sukinda,Chromite Mining Valley,85.83,21.02,2020,9.7,1716,433,251,1.8,114,46,0.3,629,160,74,4.8,2.5,34,29,34,6.9,115,285
Andhra Pradesh,Patancheru,Pharmaceutical Hub Downstream,78.29,17.51,2021,9.4,2772,665,439,2.8,222,66,1.1,995,244,112,6.6,3.9,56,66,77,16.5,165,132
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Site B,80.4,26.47,2021,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Andhra Pradesh,Patancheru,Pharmaceutical Hub Site A,78.3,17.57,2021,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Kerala,Eloor,Periyar River Industrial Upstream,76.33,10.02,2021,8.0,1502,370,220,1.5,98,37,0.3,555,139,69,4.4,1.4,25,21,44,10.4,69,81
Rajasthan,Jaipur,Industrial Zone Jaipur Site B,75.82,26.89,2023,9.3,1368,341,205,1.4,79,34,0.2,510,125,62,3.4,0.9,40,73,17,4.5,57,51
Uttar Pradesh,Kanpur,IIT Kanpur Campus,80.19,26.49,2022,8.6,715,165,88,0.6,33,13,0.04,275,60,33,2.2,0.1,3,6,1,0.1,4,2
Delhi,Delhi,Wazirabad Barrage Area Site A,77.19,28.7,2020,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7,2.1,32,40,51,8.0,91,102
Odisha,Sukinda,Chromite Mining Valley Site A,85.84,21.09,2022,9.3,1688,426,246,1.8,113,45,0.3,618,157,73,4.7,2.5,34,28,34,6.8,113,281
Uttar Pradesh,Aligarh,Urban Center Aligarh Upstream,78.03,27.84,2021,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Kerala,Eloor,Periyar River Industrial,76.26,10.07,2024,8.1,1541,379,225,1.5,100,38,0.3,570,142,71,4.5,1.4,26,21,45,10.7,71,83
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.88,20.35,2023,10.0,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Industrial Zone Jaipur,75.8,26.96,2022,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Jharkhand,Jaduguda,Uranium Mining Area Upstream,86.37,22.61,2020,8.4,1248,318,181,1.7,79,28,0.17,488,113,56,4.0,1.0,79,283,23,4.5,45,34
Gujarat,Vapi,Chemical Industrial Zone,72.93,20.4,2021,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.38,26.47,2023,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur,75.8,26.86,2021,9.2,1044,275,153,1.0,55,24,0.1,417,99,49,3.1,0.3,9,28,6,1.1,17,11
Odisha,Sukinda,Chromite Mining Valley Site A,85.81,21.01,2020,9.7,1716,433,251,1.8,114,46,0.3,629,160,74,4.8,2.5,34,29,34,6.9,115,285
Jharkhand,Jaduguda,Uranium Mining Area Well 1,86.32,22.61,2021,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Andhra Pradesh,Patancheru,Pharmaceutical Hub Well 2,78.29,17.51,2023,9.4,2772,665,439,2.8,222,66,1.1,995,244,112,6.6,3.9,56,66,77,16.5,165,132
Punjab,Bathinda,Malwa Rural Zone Well 2,74.93,30.25,2021,8.7,1051,288,155,1.1,66,24,0.1,432,105,53,3.3,0.3,61,166,9,1.7,20,15
Rajasthan,Jaipur,Industrial Zone Jaipur Well 1,75.75,26.89,2021,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Punjab,Bathinda,Malwa Rural Zone Downstream,74.93,30.25,2020,8.8,1073,294,158,1.1,68,25,0.1,442,107,54,3.4,0.3,62,169,9,1.7,20,16
Uttar Pradesh,Aligarh,Urban Center Aligarh Site B,78.09,27.85,2023,8.7,987,243,139,0.9,52,23,0.1,406,93,46,2.9,0.5,17,46,9,2.9,23,17
Odisha,Sukinda,Chromite Mining Valley Site B,85.77,21.08,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Site B,80.4,26.44,2024,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Uttar Pradesh,Aligarh,Urban Center Aligarh Well 2,78.1,27.84,2024,8.9,949,235,133,0.9,50,22,0.1,390,90,44,2.8,0.5,17,44,9,2.8,22,17
Uttar Pradesh,Kanpur,IIT Kanpur Campus,80.22,26.47,2021,8.3,736,170,90,0.6,34,14,0.04,281,62,34,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Upstream,74.96,30.2,2023,9.2,1064,292,157,1.1,67,25,0.1,438,106,53,3.4,0.3,62,168,9,1.7,20,16
Rajasthan,Jaipur,Industrial Zone Jaipur Well 2,75.79,26.96,2020,9.1,1352,336,202,1.4,79,34,0.2,507,124,61,3.4,0.9,39,73,17,4.5,56,50
Delhi,Delhi,Wazirabad Barrage Area,77.2,28.66,2021,9.0,2073,544,329,1.9,142,55,0.8,765,197,88,5.5,2.0,31,38,50,7.7,88,98
Gujarat,Vapi,Chemical Industrial Zone Well 1,72.95,20.39,2020,9.4,2508,627,399,2.5,205,62,0.9,913,228,103,6.3,3.2,45,57,68,11.5,137,205
Kerala,Eloor,Periyar River Industrial,76.32,10.04,2023,8.0,1525,375,223,1.5,99,37,0.3,564,141,70,4.5,1.4,26,21,45,10.6,71,82
Jharkhand,Jaduguda,Uranium Mining Area Site B,86.3,22.61,2021,8.5,1239,316,180,1.7,79,28,0.17,485,113,56,3.9,1.0,79,281,23,4.5,45,34
Andhra Pradesh,Patancheru,Pharmaceutical Hub Site B,78.29,17.57,2020,9.8,2843,682,455,2.8,227,68,1.1,1024,250,114,6.8,4.0,57,68,80,17.1,171,136
Uttar Pradesh,Kanpur,IIT Kanpur Campus Site A,80.24,26.47,2022,8.6,715,165,88,0.6,33,13,0.04,275,60,33,2.2,0.1,3,6,1,0.1,4,2
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.27,28.74,2021,9.3,2178,574,344,2.0,149,57,0.8,803,206,92,5.7,2.1,32,40,52,8.0,92,103
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Well 1,80.35,26.4,2021,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Gujarat,Vapi,Chemical Industrial Zone Well 2,72.88,20.35,2022,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area Site B,86.32,22.69,2023,8.5,1239,316,180,1.7,79,28,0.17,485,113,56,3.9,1.0,79,281,23,4.5,45,34
Andhra Pradesh,Patancheru,Pharmaceutical Hub Upstream,78.22,17.5,2021,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Odisha,Sukinda,Chromite Mining Valley Well 2,85.8,21.01,2022,9.3,1688,426,246,1.8,113,45,0.3,618,157,73,4.7,2.5,34,28,34,6.8,113,281
Rajasthan,Jaipur,Residential Area Jaipur Site B,75.8,26.93,2024,9.2,1044,275,153,1.0,55,24,0.1,417,99,49,3.1,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur,75.76,26.88,2024,9.4,1362,340,204,1.4,79,34,0.2,511,125,62,3.4,0.9,40,73,17,4.5,57,51
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.86,26.89,2024,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Upstream,75.8,26.9,2024,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Delhi,Delhi,Wazirabad Barrage Area Well 1,77.19,28.69,2021,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7,2.1,32,40,51,8.0,91,102
Kerala,Eloor,Periyar River Industrial Site B,76.35,10.04,2022,8.4,1498,369,219,1.5,98,37,0.3,554,138,69,4.4,1.4,25,21,44,10.4,69,81
Uttar Pradesh,Kanpur,IIT Kanpur Campus Site B,80.19,26.49,2024,8.2,732,169,89,0.6,34,13,0.04,279,61,34,2.2,0.1,3,6,1,0.1,4,2
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.1,27.92,2021,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Kerala,Eloor,Periyar River Industrial Well 2,76.33,10.02,2024,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
Uttar Pradesh,Aligarh,Urban Center Aligarh,78.11,27.87,2020,8.5,961,238,135,0.9,51,22,0.1,394,91,45,2.8,0.5,17,45,9,2.8,22,17
Odisha,Sukinda,Chromite Mining Valley Downstream,85.77,21.08,2020,9.5,1706,430,249,1.8,114,45,0.3,625,159,74,4.8,2.5,34,28,34,6.8,114,284
Rajasthan,Jaipur,Residential Area Jaipur Well 1,75.82,26.93,2023,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Well 2,80.4,26.47,2023,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Delhi,Delhi,Wazirabad Barrage Area Upstream,77.2,28.74,2023,9.5,2212,581,348,2.0,151,58,0.8,812,209,93,5.8,2.1,32,40,52,8.1,93,104
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Upstream,80.35,26.44,2024,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Well 2,75.86,26.89,2022,9.2,1048,276,154,1.0,55,24,0.1,419,99,49,3.1,0.3,9,28,6,1.1,17,11
Andhra Pradesh,Patancheru,Pharmaceutical Hub,78.3,17.57,2020,9.8,2843,682,455,2.8,227,68,1.1,1024,250,114,6.8,4.0,57,68,80,17.1,171,136
Odisha,Sukinda,Chromite Mining Valley Upstream,85.81,21.09,2022,9.2,1663,420,243,1.8,111,44,0.3,608,155,72,4.7,2.4,33,28,33,6.7,111,277
Jharkhand,Jaduguda,Uranium Mining Area Well 2,86.3,22.69,2021,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Punjab,Bathinda,Malwa Rural Zone Site B,74.91,30.17,2024,9.0,1056,289,156,1.1,67,25,0.1,434,106,53,3.3,0.3,61,167,9,1.7,20,16
Punjab,Bathinda,Malwa Rural Zone Well 1,74.99,30.2,2024,9.3,1048,287,155,1.1,66,24,0.1,431,105,53,3.3,0.3,61,166,9,1.7,20,15
Delhi,Delhi,Wazirabad Barrage Area,77.27,28.69,2023,9.0,2073,544,329,1.9,142,55,0.8,765,197,88,5.5,2.0,31,38,50,7.7,88,98
Gujarat,Vapi,Chemical Industrial Zone Site A,72.93,20.4,2024,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Kerala,Eloor,Periyar River Industrial Site A,76.26,10.04,2023,8.0,1502,370,220,1.5,98,37,0.3,555,139,69,4.4,1.4,25,21,44,10.4,69,81
Andhra Pradesh,Patancheru,Pharmaceutical Hub Site A,78.22,17.57,2020,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Jharkhand,Jaduguda,Uranium Mining Area,86.3,22.61,2024,8.8,1315,335,191,1.8,84,30,0.18,514,119,59,4.2,1.1,84,299,24,4.8,48,36
Odisha,Sukinda,Chromite Mining Valley,85.84,21.09,2024,9.7,1716,433,251,1.8,114,46,0.3,629,160,74,4.8,2.5,34,29,34,6.9,115,285
Uttar Pradesh,Kanpur,Jajmau Tannery Zone,80.38,26.44,2021,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Odisha,Sukinda,Chromite Mining Valley,85.78,21.02,2024,8.3,1550,390,225,1.7,105,42,0.35,570,145,68,4.3,2.5,33,28,35,6.5,110,280
