State,District,Location,Longitude,Latitude,Year,pH,EC,HCO3,CI,F,SO4,NO3,PO4,Total Hardness,Ca,Mg,K,Fe,As,U,Pb,Cd,Ni,Cr
Uttar Pradesh,Kanpur,IIT Kanpur Campus Downstream,80.22,26.47,2020,8.2,732,169,89,0.6,34,13,0.04,279,61,34,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Well 1,74.93,30.2,2020,8.8,1073,294,158,1.1,68,25,0.1,442,107,54,3.4,0.3,62,169,9,1.7,20,16
Delhi,Delhi,Wazirabad Barrage Area Well 1,77.27,28.66,2020,9.3,2178,574,344,2.0,149,57,0.8,803,206,92,5.7,2.1,32,40,52,8.0,92,103
Odisha,Sukinda,Chromite Mining Valley Well 1,85.83,21.08,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Kerala,Eloor,Periyar River Industrial Well 1,76.33,10.09,2020,8.3,1506,370,220,1.5,98,37,0.3,556,139,69,4.4,1.4,25,21,44,10.4,69,81
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.05,27.92,2020,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Gujarat,Vapi,Chemical Industrial Zone Well 1,72.93,20.33,2020,9.4,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Residential Area Jaipur Well 1,75.86,26.9,2020,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Uttar Pradesh,Kanpur,IIT Kanpur Campus Well 1,80.24,26.49,2020,8.6,715,165,88,0.6,33,13,0.04,275,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Site A,74.96,30.25,2020,9.2,1064,292,157,1.1,67,25,0.1,438,106,53,3.4,0.3,62,168,9,1.7,20,16
Delhi,Delhi,Wazirabad Barrage Area Site B,77.19,28.74,2020,9.0,2073,544,329,1.9,142,55,0.8,765,197,88,5.5,2.0,31,38,50,7.7,88,98
Odisha,Sukinda,Chromite Mining Valley Site B,85.81,21.01,2020,9.5,1706,430,249,1.8,114,45,0.3,625,159,74,4.8,2.5,34,28,34,6.8,114,284
Kerala,Eloor,Periyar River Industrial Site A,76.3,10.07,2020,8.1,1541,379,225,1.5,100,38,0.3,570,142,71,4.5,1.4,26,21,45,10.7,71,83
Andhra Pradesh,Patancheru,Pharmaceutical Hub Well 1,78.3,17.51,2020,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Jharkhand,Jaduguda,Uranium Mining Area Well 1,86.37,22.6,2020,8.8,1315,335,191,1.8,84,30,0.18,514,119,59,4.2,1.1,84,299,24,4.8,48,36
Gujarat,Vapi,Chemical Industrial Zone Well 2,72.96,20.4,2020,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area Well 2,86.3,22.6,2020,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Kerala,Eloor,Periyar River Industrial Well 2,76.26,10.09,2020,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
Odisha,Sukinda,Chromite Mining Valley Upstream,85.84,21.08,2020,9.2,1663,420,243,1.8,111,44,0.3,608,155,72,4.7,2.4,33,28,33,6.7,111,277
Uttar Pradesh,Kanpur,IIT Kanpur Campus Upstream,80.19,26.54,2020,8.3,711,164,88,0.6,33,13,0.04,274,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Upstream,74.91,30.17,2020,9.0,1056,289,156,1.1,67,25,0.1,434,106,53,3.3,0.3,61,167,9,1.7,20,16
Delhi,Delhi,Wazirabad Barrage Area Upstream,77.2,28.66,2020,9.5,2212,581,348,2.0,151,58,0.8,812,209,93,5.8,2.1,32,40,52,8.1,93,104
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Upstream,80.38,26.4,2020,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Well 2,75.8,26.89,2020,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.96,20.39,2020,10.0,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Industrial Zone Jaipur Well 2,75.82,26.96,2020,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Uttar Pradesh,Aligarh,Urban Center Aligarh Site A,78.05,27.85,2020,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Odisha,Sukinda,Chromite Mining Valley Downstream,85.83,21.09,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.4,26.4,2020,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.79,26.9,2020,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.76,26.87,2020,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.19,28.74,2020,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7,2.1,32,40,51,8.0,91,102
Kerala,Eloor,Periyar River Industrial Downstream,76.33,10.07,2020,8.3,1506,370,220,1.5,98,37,0.3,556,139,69,4.4,1.4,25,21,44,10.4,69,81
Uttar Pradesh,Aligarh,Urban Center Aligarh Well 1,78.09,27.84,2020,8.9,949,235,133,0.9,50,22,0.1,390,90,44,2.8,0.5,17,44,9,2.8,22,17
Andhra Pradesh,Patancheru,Pharmaceutical Hub Downstream,78.3,17.57,2020,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.37,22.69,2020,8.8,1242,316,181,1.7,79,28,0.17,486,113,56,3.9,1.0,79,282,23,4.5,45,34
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.93,20.39,2020,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.3,22.6,2020,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Kerala,Eloor,Periyar River Industrial Downstream,76.26,10.09,2020,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
Odisha,Sukinda,Chromite Mining Valley Downstream,85.84,21.08,2020,9.2,1663,420,243,1.8,111,44,0.3,608,155,72,4.7,2.4,33,28,33,6.7,111,277
Uttar Pradesh,Kanpur,IIT Kanpur Campus Downstream,80.19,26.47,2020,8.3,711,164,88,0.6,33,13,0.04,274,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Downstream,74.91,30.22,2020,9.0,1056,289,156,1.1,67,25,0.1,434,106,53,3.3,0.3,61,167,9,1.7,20,16
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.2,28.66,2020,9.5,2212,581,348,2.0,151,58,0.8,812,209,93,5.8,2.1,32,40,52,8.1,93,104
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.38,26.4,2020,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.8,26.89,2020,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.96,20.33,2020,10.0,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.82,26.9,2020,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.03,27.85,2020,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Odisha,Sukinda,Chromite Mining Valley Downstream,85.83,21.01,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.4,26.44,2020,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.79,26.93,2020,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.76,26.88,2020,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.19,28.7,2020,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7,2.1,32,40,51,8.0,91,102
Kerala,Eloor,Periyar River Industrial Downstream,76.33,10.02,2020,8.3,1506,370,220,1.5,98,37,0.3,556,139,69,4.4,1.4,25,21,44,10.4,69,81
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.09,27.84,2020,8.9,949,235,133,0.9,50,22,0.1,390,90,44,2.8,0.5,17,44,9,2.8,22,17
Andhra Pradesh,Patancheru,Pharmaceutical Hub Downstream,78.3,17.51,2020,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.37,22.6,2020,8.8,1242,316,181,1.7,79,28,0.17,486,113,56,3.9,1.0,79,282,23,4.5,45,34
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.93,20.33,2020,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.3,22.61,2020,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Kerala,Eloor,Periyar River Industrial Downstream,76.26,10.07,2020,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
Odisha,Sukinda,Chromite Mining Valley Downstream,85.84,21.01,2020,9.2,1663,420,243,1.8,111,44,0.3,608,155,72,4.7,2.4,33,28,33,6.7,111,277
Uttar Pradesh,Kanpur,IIT Kanpur Campus Downstream,80.19,26.49,2020,8.3,711,164,88,0.6,33,13,0.04,274,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Downstream,74.91,30.2,2020,9.0,1056,289,156,1.1,67,25,0.1,434,106,53,3.3,0.3,61,167,9,1.7,20,16
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.2,28.69,2020,9.5,2212,581,348,2.0,151,58,0.8,812,209,93,5.8,2.1,32,40,52,8.1,93,104
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.38,26.44,2020,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.8,26.86,2020,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.96,20.39,2020,10.0,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.82,26.9,2020,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.03,27.84,2020,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Odisha,Sukinda,Chromite Mining Valley Downstream,85.83,21.08,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.4,26.4,2020,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.79,26.9,2020,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.76,26.87,2020,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.19,28.66,2020,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7,2.1,32,40,51,8.0,91,102
Kerala,Eloor,Periyar River Industrial Downstream,76.33,10.09,2020,8.3,1506,370,220,1.5,98,37,0.3,556,139,69,4.4,1.4,25,21,44,10.4,69,81
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.09,27.92,2020,8.9,949,235,133,0.9,50,22,0.1,390,90,44,2.8,0.5,17,44,9,2.8,22,17
Andhra Pradesh,Patancheru,Pharmaceutical Hub Downstream,78.3,17.51,2020,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.37,22.61,2020,8.8,1242,316,181,1.7,79,28,0.17,486,113,56,3.9,1.0,79,282,23,4.5,45,34
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.93,20.39,2020,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.3,22.69,2020,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Kerala,Eloor,Periyar River Industrial Downstream,76.26,10.02,2020,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
Odisha,Sukinda,Chromite Mining Valley Downstream,85.84,21.08,2020,9.2,1663,420,243,1.8,111,44,0.3,608,155,72,4.7,2.4,33,28,33,6.7,111,277
Uttar Pradesh,Kanpur,IIT Kanpur Campus Downstream,80.19,26.54,2020,8.3,711,164,88,0.6,33,13,0.04,274,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Downstream,74.91,30.2,2020,9.0,1056,289,156,1.1,67,25,0.1,434,106,53,3.3,0.3,61,167,9,1.7,20,16
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.2,28.66,2020,9.5,2212,581,348,2.0,151,58,0.8,812,209,93,5.8,2.1,32,40,52,8.1,93,104
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.38,26.4,2020,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.8,26.89,2020,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.96,20.33,2020,10.0,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.82,26.9,2020,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.03,27.84,2020,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Odisha,Sukinda,Chromite Mining Valley Downstream,85.83,21.01,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.4,26.44,2020,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.79,26.93,2020,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.76,26.88,2020,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.19,28.7,2020,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7,2.1,32,40,51,8.0,91,102
Kerala,Eloor,Periyar River Industrial Downstream,76.33,10.02,2020,8.3,1506,370,220,1.5,98,37,0.3,556,139,69,4.4,1.4,25,21,44,10.4,69,81
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.09,27.84,2020,8.9,949,235,133,0.9,50,22,0.1,390,90,44,2.8,0.5,17,44,9,2.8,22,17
Andhra Pradesh,Patancheru,Pharmaceutical Hub Downstream,78.3,17.51,2020,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.37,22.6,2020,8.8,1242,316,181,1.7,79,28,0.17,486,113,56,3.9,1.0,79,282,23,4.5,45,34
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.93,20.33,2020,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.3,22.61,2020,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Kerala,Eloor,Periyar River Industrial Downstream,76.26,10.07,2020,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
Odisha,Sukinda,Chromite Mining Valley Downstream,85.84,21.01,2020,9.2,1663,420,243,1.8,111,44,0.3,608,155,72,4.7,2.4,33,28,33,6.7,111,277
Uttar Pradesh,Kanpur,IIT Kanpur Campus Downstream,80.19,26.49,2020,8.3,711,164,88,0.6,33,13,0.04,274,60,33,2.2,0.1,3,6,1,0.1,4,2
Punjab,Bathinda,Malwa Rural Zone Downstream,74.91,30.2,2020,9.0,1056,289,156,1.1,67,25,0.1,434,106,53,3.3,0.3,61,167,9,1.7,20,16
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.2,28.69,2020,9.5,2212,581,348,2.0,151,58,0.8,812,209,93,5.8,2.1,32,40,52,8.1,93,104
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.38,26.44,2020,9.5,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.8,26.86,2020,8.9,1031,273,152,1.0,55,24,0.1,415,98,49,3.1,0.3,9,27,6,1.1,16,11
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.96,20.39,2020,10.0,2484,621,395,2.5,202,62,0.9,903,226,102,6.2,3.2,45,56,67,11.3,136,202
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.82,26.9,2020,9.3,1399,348,208,1.4,81,35,0.2,522,128,63,3.5,0.9,41,75,17,4.6,58,52
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.03,27.84,2020,8.8,944,234,132,0.9,50,22,0.1,388,90,44,2.8,0.5,17,44,9,2.8,22,17
Odisha,Sukinda,Chromite Mining Valley Downstream,85.83,21.01,2020,9.1,1643,416,241,1.8,110,44,0.3,602,153,71,4.6,2.4,33,27,33,6.6,110,274
Uttar Pradesh,Kanpur,Jajmau Tannery Zone Downstream,80.4,26.4,2020,9.6,2068,519,292,2.1,141,52,0.6,697,174,81,5.2,1.7,32,25,46,9.0,101,169
Rajasthan,Jaipur,Residential Area Jaipur Downstream,75.79,26.9,2020,8.7,1085,285,159,1.0,57,25,0.1,434,103,51,3.2,0.3,9,28,6,1.1,17,11
Rajasthan,Jaipur,Industrial Zone Jaipur Downstream,75.76,26.87,2020,9.7,1374,342,205,1.4,80,34,0.2,514,126,62,3.4,0.9,40,74,17,4.5,57,51
Delhi,Delhi,Wazirabad Barrage Area Downstream,77.19,28.66,2020,9.3,2156,566,341,1.9,148,57,0.8,796,205,91,5.7,2.1,32,40,51,8.0,91,102
Kerala,Eloor,Periyar River Industrial Downstream,76.33,10.09,2020,8.3,1506,370,220,1.5,98,37,0.3,556,139,69,4.4,1.4,25,21,44,10.4,69,81
Uttar Pradesh,Aligarh,Urban Center Aligarh Downstream,78.09,27.92,2020,8.9,949,235,133,0.9,50,22,0.1,390,90,44,2.8,0.5,17,44,9,2.8,22,17
Andhra Pradesh,Patancheru,Pharmaceutical Hub Downstream,78.3,17.51,2020,9.4,2728,655,432,2.7,218,65,1.1,980,240,110,6.5,3.8,55,65,76,16.2,162,130
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.37,22.61,2020,8.8,1242,316,181,1.7,79,28,0.17,486,113,56,3.9,1.0,79,282,23,4.5,45,34
Gujarat,Vapi,Chemical Industrial Zone Downstream,72.93,20.39,2020,9.7,2539,634,403,2.5,207,63,0.9,922,230,104,6.3,3.3,46,58,69,11.6,138,207
Jharkhand,Jaduguda,Uranium Mining Area Downstream,86.3,22.69,2020,8.7,1263,322,183,1.7,80,29,0.17,493,114,57,4.0,1.0,80,286,23,4.6,46,34
Kerala,Eloor,Periyar River Industrial Downstream,76.26,10.02,2020,8.1,1558,383,228,1.6,102,38,0.3,575,144,72,4.5,1.4,26,22,45,10.8,72,84
